date,status_of_system,latitude,longitude,max_sustained_wind,central_pressure,,,,,,,,,,,,,
18510625,HU,28.0N,94.8W,80,,,,,,,,,,,,,,
18510625,HU,28.0N,95.4W,80,,,,,,,,,,,,,,
18510625,HU,28.0N,96.0W,80,,,,,,,,,,,,,,
18510625,HU,28.1N,96.5W,80,,,,,,,,,,,,,,
18510625,HU,28.2N,96.8W,80,,,,,,,,,,,,,,
18510626,HU,28.2N,97.0W,70,,,,,,,,,,,,,,
18510626,TS,28.3N,97.6W,60,,,,,,,,,,,,,,
18510626,TS,28.4N,98.3W,60,,,,,,,,,,,,,,
18510626,TS,28.6N,98.9W,50,,,,,,,,,,,,,,
18510627,TS,29.0N,99.4W,50,,,,,,,,,,,,,,
18510627,TS,29.5N,99.8W,40,,,,,,,,,,,,,,
18510627,TS,30.0N,100.0W,40,,,,,,,,,,,,,,
18510627,TS,30.5N,100.1W,40,,,,,,,,,,,,,,
18510628,TS,31.0N,100.2W,40,,,,,,,,,,,,,,
18510705,HU,22.2N,97.6W,80,,,,,,,,,,,,,,
18510710,TS,12.0N,60.0W,50,,,,,,,,,,,,,,
18510816,TS,13.4N,48.0W,40,,,,,,,,,,,,,,
18510816,TS,13.7N,49.5W,40,,,,,,,,,,,,,,
18510816,TS,14.0N,51.0W,50,,,,,,,,,,,,,,
18510816,TS,14.4N,52.8W,50,,,,,,,,,,,,,,
18510817,TS,14.9N,54.6W,60,,,,,,,,,,,,,,
18510817,TS,15.4N,56.5W,60,,,,,,,,,,,,,,
18510817,HU,15.9N,58.5W,70,,,,,,,,,,,,,,
18510817,HU,16.1N,60.4W,70,,,,,,,,,,,,,,
18510818,HU,16.6N,62.5W,80,,,,,,,,,,,,,,
18510818,HU,16.9N,64.1W,80,,,,,,,,,,,,,,
18510818,HU,17.2N,66.0W,90,,,,,,,,,,,,,,
18510818,HU,17.6N,67.6W,90,,,,,,,,,,,,,,
18510819,HU,18.0N,69.3W,90,,,,,,,,,,,,,,
18510819,HU,18.4N,71.1W,70,,,,,,,,,,,,,,
18510819,TS,18.9N,72.6W,60,,,,,,,,,,,,,,
18510819,TS,19.4N,74.3W,60,,,,,,,,,,,,,,
18510820,HU,19.9N,75.9W,70,,,,,,,,,,,,,,
18510820,HU,20.5N,77.6W,70,,,,,,,,,,,,,,
18510820,HU,21.2N,79.0W,70,,,,,,,,,,,,,,
18510820,HU,21.9N,80.4W,70,,,,,,,,,,,,,,
18510821,TS,22.6N,81.4W,60,,,,,,,,,,,,,,
18510821,TS,23.2N,82.5W,60,,,,,,,,,,,,,,
18510821,HU,23.9N,83.6W,70,,,,,,,,,,,,,,
18510821,HU,24.4N,84.3W,70,,,,,,,,,,,,,,
18510822,HU,25.0N,84.9W,80,,,,,,,,,,,,,,
18510822,HU,25.6N,85.5W,80,,,,,,,,,,,,,,
18510822,HU,26.2N,86.0W,90,,,,,,,,,,,,,,
18510822,HU,26.8N,86.3W,90,,,,,,,,,,,,,,
18510823,HU,27.4N,86.5W,100,,,,,,,,,,,,,,
18510823,HU,28.0N,86.6W,100,,,,,,,,,,,,,,
18510823,HU,28.5N,86.6W,100,,,,,,,,,,,,,,
18510823,HU,29.6N,86.1W,100,,,,,,,,,,,,,,
18510823,HU,30.1N,85.7W,100,,,,,,,,,,,,,,
18510824,HU,30.7N,85.1W,90,,,,,,,,,,,,,,
18510824,HU,31.6N,84.1W,70,,,,,,,,,,,,,,
18510824,TS,32.5N,83.0W,60,,,,,,,,,,,,,,
18510824,TS,33.4N,81.4W,50,,,,,,,,,,,,,,
18510825,TS,34.0N,80.0W,40,,,,,,,,,,,,,,
18510825,TS,34.8N,78.6W,40,,,,,,,,,,,,,,
18510825,TS,35.8N,77.0W,40,,,,,,,,,,,,,,
18510825,TS,36.8N,75.1W,40,,,,,,,,,,,,,,
18510826,TS,37.8N,73.6W,40,,,,,,,,,,,,,,
18510826,TS,38.9N,71.8W,40,,,,,,,,,,,,,,
18510826,TS,40.0N,70.0W,40,,,,,,,,,,,,,,
18510826,TS,41.3N,66.8W,40,,,,,,,,,,,,,,
18510827,TS,42.8N,63.3W,40,,,,,,,,,,,,,,
18510827,TS,44.5N,60.2W,40,,,,,,,,,,,,,,
18510827,TS,46.4N,57.2W,40,,,,,,,,,,,,,,
18510827,TS,48.5N,54.2W,40,,,,,,,,,,,,,,
18510913,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510913,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510913,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510913,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510914,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510914,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510914,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510914,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510915,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510915,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510915,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510915,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510916,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510916,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510916,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18510916,TS,32.5N,73.5W,50,,,,,,,,,,,,,,
18511016,TS,28.7N,78.0W,40,,,,,,,,,,,,,,
18511016,TS,29.1N,77.8W,40,,,,,,,,,,,,,,
18511016,TS,29.5N,77.5W,50,,,,,,,,,,,,,,
18511016,TS,30.1N,77.1W,50,,,,,,,,,,,,,,
18511017,TS,30.7N,76.6W,60,,,,,,,,,,,,,,
18511017,TS,31.2N,76.3W,60,,,,,,,,,,,,,,
18511017,TS,31.6N,75.9W,60,,,,,,,,,,,,,,
18511017,TS,32.0N,75.5W,60,,,,,,,,,,,,,,
18511018,TS,32.7N,74.9W,60,,,,,,,,,,,,,,
