date,latitude,longitude,max_sustained_wind,central_pressure,tmrw windspeed
1851-06-25,28.0N,94.8W,80,,80.0
1851-06-25,28.0N,95.4W,80,,80.0
1851-06-25,28.0N,96.0W,80,,80.0
1851-06-25,28.1N,96.5W,80,,80.0
1851-06-25,28.2N,96.8W,80,,70.0
1851-06-26,28.2N,97.0W,70,,60.0
1851-06-26,28.3N,97.6W,60,,60.0
1851-06-26,28.4N,98.3W,60,,50.0
1851-06-26,28.6N,98.9W,50,,50.0
1851-06-27,29.0N,99.4W,50,,40.0
1851-06-27,29.5N,99.8W,40,,40.0
1851-06-27,30.0N,100.0W,40,,40.0
1851-06-27,30.5N,100.1W,40,,40.0
1851-06-28,31.0N,100.2W,40,,80.0
1851-07-05,22.2N,97.6W,80,,50.0
1851-07-10,12.0N,60.0W,50,,40.0
1851-08-16,13.4N,48.0W,40,,40.0
1851-08-16,13.7N,49.5W,40,,50.0
1851-08-16,14.0N,51.0W,50,,50.0
1851-08-16,14.4N,52.8W,50,,60.0
1851-08-17,14.9N,54.6W,60,,60.0
1851-08-17,15.4N,56.5W,60,,70.0
1851-08-17,15.9N,58.5W,70,,70.0
1851-08-17,16.1N,60.4W,70,,80.0
1851-08-18,16.6N,62.5W,80,,80.0
1851-08-18,16.9N,64.1W,80,,90.0
1851-08-18,17.2N,66.0W,90,,90.0
1851-08-18,17.6N,67.6W,90,,90.0
1851-08-19,18.0N,69.3W,90,,70.0
1851-08-19,18.4N,71.1W,70,,60.0
1851-08-19,18.9N,72.6W,60,,60.0
1851-08-19,19.4N,74.3W,60,,70.0
1851-08-20,19.9N,75.9W,70,,70.0
1851-08-20,20.5N,77.6W,70,,70.0
1851-08-20,21.2N,79.0W,70,,70.0
1851-08-20,21.9N,80.4W,70,,60.0
1851-08-21,22.6N,81.4W,60,,60.0
1851-08-21,23.2N,82.5W,60,,70.0
1851-08-21,23.9N,83.6W,70,,70.0
1851-08-21,24.4N,84.3W,70,,80.0
1851-08-22,25.0N,84.9W,80,,80.0
1851-08-22,25.6N,85.5W,80,,90.0
1851-08-22,26.2N,86.0W,90,,90.0
1851-08-22,26.8N,86.3W,90,,100.0
1851-08-23,27.4N,86.5W,100,,100.0
1851-08-23,28.0N,86.6W,100,,100.0
1851-08-23,28.5N,86.6W,100,,100.0
1851-08-23,29.6N,86.1W,100,,100.0
1851-08-23,30.1N,85.7W,100,,90.0
1851-08-24,30.7N,85.1W,90,,70.0
1851-08-24,31.6N,84.1W,70,,60.0
1851-08-24,32.5N,83.0W,60,,50.0
1851-08-24,33.4N,81.4W,50,,40.0
1851-08-25,34.0N,80.0W,40,,40.0
1851-08-25,34.8N,78.6W,40,,40.0
1851-08-25,35.8N,77.0W,40,,40.0
1851-08-25,36.8N,75.1W,40,,40.0
1851-08-26,37.8N,73.6W,40,,40.0
1851-08-26,38.9N,71.8W,40,,40.0
1851-08-26,40.0N,70.0W,40,,40.0
1851-08-26,41.3N,66.8W,40,,40.0
1851-08-27,42.8N,63.3W,40,,40.0
1851-08-27,44.5N,60.2W,40,,40.0
1851-08-27,46.4N,57.2W,40,,40.0
1851-08-27,48.5N,54.2W,40,,50.0
1851-09-13,32.5N,73.5W,50,,50.0
1851-09-13,32.5N,73.5W,50,,50.0
1851-09-13,32.5N,73.5W,50,,50.0
1851-09-13,32.5N,73.5W,50,,50.0
1851-09-14,32.5N,73.5W,50,,50.0
1851-09-14,32.5N,73.5W,50,,50.0
1851-09-14,32.5N,73.5W,50,,50.0
1851-09-14,32.5N,73.5W,50,,50.0
1851-09-15,32.5N,73.5W,50,,50.0
1851-09-15,32.5N,73.5W,50,,50.0
1851-09-15,32.5N,73.5W,50,,50.0
1851-09-15,32.5N,73.5W,50,,50.0
1851-09-16,32.5N,73.5W,50,,50.0
1851-09-16,32.5N,73.5W,50,,50.0
1851-09-16,32.5N,73.5W,50,,50.0
1851-09-16,32.5N,73.5W,50,,40.0
1851-10-16,28.7N,78.0W,40,,40.0
1851-10-16,29.1N,77.8W,40,,50.0
1851-10-16,29.5N,77.5W,50,,50.0
1851-10-16,30.1N,77.1W,50,,60.0
1851-10-17,30.7N,76.6W,60,,60.0
1851-10-17,31.2N,76.3W,60,,60.0
1851-10-17,31.6N,75.9W,60,,60.0
1851-10-17,32.0N,75.5W,60,,60.0
1851-10-18,32.7N,74.9W,60,,60.0
1851-10-18,33.3N,74.3W,60,,60.0
