Date,Actual,Forecast
2012-08-23,14.8,
2012-08-23,15.5,
2012-08-24,16.1,
2012-08-24,16.7,
2012-08-24,17.4,
2012-08-28,23.9,
2012-08-29,24.0,
2012-08-29,24.3,
2012-08-29,24.6,
2012-08-29,25.1,
2012-08-30,25.6,
2012-08-30,26.1,
2012-08-30,26.8,
2012-08-30,27.6,
2012-08-31,28.5,
2012-08-31,29.6,
2012-08-31,30.6,
2012-08-31,31.7,
2012-09-01,33.1,
2012-09-01,34.6,
2012-09-01,36.5,
2012-09-01,38.4,
2012-09-02,40.3,
2012-09-02,42.4,
2012-09-02,45.0,
2012-09-02,48.1,
2012-09-03,51.7,
2012-08-28,12.9,
2012-08-28,13.0,
2012-08-29,13.1,
2012-08-29,13.2,
2012-08-29,13.3,
2012-08-29,13.4,
2012-08-30,13.5,
2012-08-30,13.6,
2012-08-30,13.8,
2012-08-30,14.2,
2012-08-31,14.7,
2012-08-31,15.3,
2012-08-31,16.0,
2012-08-31,16.5,
2012-09-01,17.1,
2012-09-01,17.6,
2012-09-01,18.1,
2012-09-01,18.8,
2012-09-02,19.6,
2012-09-02,20.4,
2012-09-02,21.2,
2012-09-02,22.1,
2012-09-03,22.9,
2012-09-03,23.4,
2012-09-03,23.5,
2012-09-03,23.8,
2012-09-04,24.2,
2012-09-04,24.5,
2012-09-04,24.8,
2012-09-04,25.0,
2012-09-05,25.2,
2012-09-05,25.4,
2012-09-05,25.6,
2012-09-05,25.8,
2012-09-06,26.0,
2012-09-06,26.2,
2012-09-06,26.3,
2012-09-06,26.4,
2012-09-07,26.5,
2012-09-07,26.6,
2012-09-07,26.8,
2012-09-07,27.1,
2012-09-08,27.4,
2012-09-08,27.8,
2012-09-08,28.3,
2012-09-08,29.0,
2012-09-09,29.7,
2012-09-09,30.5,
2012-09-09,31.5,
2012-09-09,32.6,
2012-09-10,33.8,
2012-09-10,35.1,
2012-09-10,36.4,
2012-09-10,38.5,
2012-09-11,41.1,
2012-09-11,44.0,
2012-09-11,45.8,
2012-09-11,47.7,
2012-09-11,51.6,
2012-09-12,55.5,
2012-09-02,28.9,
2012-09-02,28.1,
2012-09-02,27.2,
2012-09-02,26.4,
2012-09-03,25.8,
2012-09-03,25.4,
2012-09-03,25.3,
2012-09-03,25.5,
2012-09-04,25.8,
2012-09-04,26.2,
2012-09-04,26.7,
2012-09-04,27.1,
2012-09-05,27.4,
2012-09-05,27.8,
2012-09-05,28.2,
2012-09-05,28.6,
2012-09-06,29.0,
2012-09-06,29.4,
2012-09-06,29.9,
2012-09-06,30.3,
2012-09-07,30.6,
2012-09-07,30.9,
2012-09-07,31.1,
2012-09-07,31.3,
2012-09-08,31.6,
2012-09-08,32.0,
2012-09-08,32.4,
2012-09-08,32.9,
2012-09-09,33.3,
2012-09-09,33.6,
2012-09-09,33.7,
2012-09-09,33.7,
2012-09-10,33.6,
2012-09-10,33.4,
2012-09-10,33.6,
2012-09-10,33.9,
2012-09-11,34.8,
2012-09-11,36.4,
2012-09-11,38.2,
2012-09-11,40.2,
2012-09-12,42.5,
2012-09-12,45.0,
2012-09-10,15.5,
2012-09-10,15.6,
2012-09-11,15.8,
2012-09-11,16.0,
2012-09-11,16.4,
2012-09-11,16.9,
2012-09-12,17.5,
2012-09-12,18.1,
2012-09-12,18.8,
2012-09-12,19.5,
2012-09-13,20.2,
2012-09-13,21.0,
2012-09-13,22.0,
2012-09-13,23.2,
2012-09-14,24.4,
2012-09-14,25.6,
2012-09-14,27.0,
2012-09-14,28.3,
2012-09-15,29.6,
2012-09-15,30.5,
2012-09-15,30.8,
2012-09-15,30.8,
2012-09-16,30.7,
2012-09-16,30.6,
2012-09-16,30.6,
2012-09-16,30.8,
2012-09-17,31.1,
2012-09-17,31.7,
2012-09-17,32.5,
2012-09-17,33.1,
2012-09-18,33.5,
2012-09-18,33.9,
2012-09-18,34.3,
2012-09-18,34.9,
2012-09-19,35.5,
2012-09-19,36.1,
2012-09-19,36.7,
2012-09-19,37.1,
2012-09-20,37.2,
2012-09-20,36.9,
2012-09-20,36.5,
2012-09-20,36.2,
2012-09-21,35.9,
2012-09-21,35.4,
2012-09-21,34.6,
2012-09-21,33.6,
2012-09-22,32.5,
2012-09-22,31.8,
2012-09-22,31.0,
2012-09-22,30.5,
2012-09-23,30.4,
2012-09-23,30.4,
2012-09-23,30.6,
2012-09-23,30.9,
2012-09-24,31.1,
2012-09-24,31.3,
2012-09-24,31.5,
2012-09-24,31.8,
2012-09-25,32.1,
2012-09-25,32.1,
2012-09-25,32.0,
2012-09-25,31.7,
2012-09-26,31.4,
2012-09-26,31.1,
2012-09-26,30.7,
2012-09-26,30.2,
2012-09-27,29.6,
2012-09-27,29.1,
2012-09-27,28.7,
2012-09-27,28.5,
2012-09-28,28.5,
2012-09-28,28.7,
2012-09-28,29.2,
2012-09-28,29.7,
2012-09-29,30.5,
2012-09-29,31.4,
2012-09-29,32.6,
2012-09-29,33.8,
2012-09-30,35.0,
2012-09-30,36.0,
2012-09-30,36.8,
2012-09-30,37.2,
2012-10-01,36.9,
2012-10-01,36.4,
2012-10-01,35.9,
2012-10-01,35.4,
2012-10-02,34.8,
2012-10-02,34.5,
2012-10-02,34.3,
2012-10-02,34.3,
2012-10-03,34.4,
2012-10-03,34.6,
2012-10-03,34.9,
2012-10-03,35.4,
2012-10-04,36.3,
2012-10-04,37.6,
2012-10-02,12.4,
2012-10-02,13.6,
2012-10-03,15.0,
2012-10-03,16.3,
2012-10-03,17.4,
2012-10-03,18.2,
2012-10-04,18.9,
2012-10-04,19.5,
2012-10-04,20.2,
2012-10-04,21.0,
2012-10-05,21.8,
2012-10-05,22.7,
2012-10-05,23.5,
2012-10-10,25.5,
2012-10-11,25.4,
2012-10-11,25.4,
2012-10-11,25.5,
2012-10-11,25.6,
2012-10-12,25.5,
2012-10-12,25.4,
2012-10-12,25.3,
2012-10-12,25.4,
2012-10-13,25.4,
2012-10-13,25.3,
2012-10-12,14.7,
2012-10-13,15.0,
2012-10-13,15.3,
2012-10-13,15.6,
2012-10-13,16.7,
2012-10-14,17.9,
2012-10-14,18.9,
2012-10-14,19.7,
2012-10-14,20.4,
2012-10-15,21.3,
2012-10-15,22.0,
2012-10-15,22.6,
2012-10-15,23.6,
2012-10-16,24.6,
2012-10-16,25.9,
2012-10-16,27.6,
2012-10-16,29.5,
2012-10-17,31.6,
2012-10-17,34.0,
2012-10-17,36.5,
2012-10-17,38.8,
2012-10-18,41.3,
2012-10-18,43.4,
2012-10-18,45.2,
2012-10-18,47.0,
2012-10-19,49.2,
2012-10-19,51.0,
2012-10-19,53.0,
2012-10-19,55.0,
2012-10-20,56.5,
2012-10-20,56.0,
2012-10-20,53.1,
2012-10-20,50.8,
2012-10-21,49.7,
2012-10-21,49.2,
2012-10-21,48.2,
2012-10-21,47.0,
2012-10-22,45.5,
2012-10-22,43.9,
2012-10-22,41.9,
2012-10-22,40.0,
2012-10-23,39.2,
2012-10-23,39.5,
2012-10-23,39.8,
2012-10-23,40.5,
2012-10-24,41.2,
2012-10-24,41.6,
2012-10-24,42.1,
