Date,Actual,Forecast
2012-10-13,-63.2,
2012-10-13,-63.7,
2012-10-13,-63.8,
2012-10-13,-63.6,
2012-10-14,-63.5,
2012-10-14,-63.6,
2012-10-14,-63.9,
2012-10-14,-64.3,
2012-10-15,-64.7,
2012-10-15,-65.2,
2012-10-15,-65.6,
2012-10-15,-65.8,
2012-10-16,-65.6,
2012-10-16,-65.3,
2012-10-16,-64.9,
2012-10-16,-64.2,
2012-10-17,-63.1,
2012-10-17,-61.7,
2012-10-17,-60.1,
2012-10-17,-58.0,
2012-10-18,-55.0,
2012-10-18,-50.7,
2012-10-18,-46.0,
2012-10-18,-41.0,
2012-10-19,-36.2,
2012-10-19,-32.5,
2012-10-19,-29.5,
2012-10-19,-30.0,
2012-10-20,-33.0,
2012-10-20,-37.0,
2012-10-20,-36.4,
2012-10-20,-34.3,
2012-10-21,-32.2,
2012-10-21,-31.1,
2012-10-21,-30.6,
2012-10-21,-30.8,
2012-10-22,-31.1,
2012-10-22,-29.8,
2012-10-22,-28.3,
2012-10-22,-27.0,
2012-10-23,-25.5,
2012-10-23,-24.5,
2012-10-23,-23.6,
2012-10-23,-22.1,
2012-10-24,-20.1,
2012-10-24,-18.8,
2012-10-24,-17.5,
2012-10-24,-16.0,
2012-10-25,-14.6,
2012-10-25,-13.3,
2012-10-25,-12.0,
2012-10-25,-11.2,
2012-10-26,-10.4,
2012-10-26,-9.1,
2012-10-26,-7.5,
2012-10-21,-77.4,
2012-10-22,-77.8,
2012-10-22,-78.2,
2012-10-22,-78.6,
2012-10-22,-78.7,
2012-10-23,-78.4,
2012-10-23,-78.1,
2012-10-23,-77.9,
2012-10-23,-77.6,
2012-10-24,-77.3,
2012-10-24,-77.1,
2012-10-24,-76.9,
2012-10-24,-76.7,
2012-10-24,-76.6,
2012-10-25,-76.4,
2012-10-25,-76.0,
2012-10-25,-76.0,
2012-10-25,-75.7,
2012-10-25,-75.5,
2012-10-25,-75.3,
2012-10-26,-75.9,
2012-10-26,-76.4,
2012-10-26,-76.9,
2012-10-26,-77.2,
2012-10-27,-77.1,
2012-10-27,-76.9,
2012-10-27,-76.5,
2012-10-27,-75.6,
2012-10-28,-74.7,
2012-10-28,-73.9,
2012-10-28,-73.0,
2012-10-28,-72.0,
2012-10-29,-71.0,
2012-10-29,-70.5,
2012-10-29,-71.0,
2012-10-29,-73.2,
2012-10-29,-74.0,
2012-10-29,-74.4,
2012-10-30,-74.5,
2012-10-30,-76.2,
2012-10-30,-77.8,
