Date,Actual,Forecast
2012-08-23,35.0,
2012-08-23,35.0,
2012-08-24,30.0,
2012-08-24,30.0,
2012-08-24,30.0,
2012-08-28,30.0,
2012-08-29,40.0,
2012-08-29,40.0,
2012-08-29,45.0,
2012-08-29,45.0,
2012-08-30,50.0,
2012-08-30,55.0,
2012-08-30,65.0,
2012-08-30,75.0,
2012-08-31,80.0,
2012-08-31,90.0,
2012-08-31,90.0,
2012-08-31,80.0,
2012-09-01,70.0,
2012-09-01,65.0,
2012-09-01,60.0,
2012-09-01,55.0,
2012-09-02,55.0,
2012-09-02,50.0,
2012-09-02,50.0,
2012-09-02,45.0,
2012-09-03,45.0,
2012-08-28,20.0,
2012-08-28,20.0,
2012-08-29,25.0,
2012-08-29,25.0,
2012-08-29,25.0,
2012-08-29,25.0,
2012-08-30,30.0,
2012-08-30,30.0,
2012-08-30,35.0,
2012-08-30,40.0,
2012-08-31,45.0,
2012-08-31,50.0,
2012-08-31,55.0,
2012-08-31,55.0,
2012-09-01,60.0,
2012-09-01,60.0,
2012-09-01,60.0,
2012-09-01,60.0,
2012-09-02,60.0,
2012-09-02,55.0,
2012-09-02,50.0,
2012-09-02,50.0,
2012-09-03,50.0,
2012-09-03,50.0,
2012-09-03,50.0,
2012-09-03,55.0,
2012-09-04,60.0,
2012-09-04,60.0,
2012-09-04,60.0,
2012-09-04,60.0,
2012-09-05,60.0,
2012-09-05,65.0,
2012-09-05,70.0,
2012-09-05,70.0,
2012-09-06,65.0,
2012-09-06,65.0,
2012-09-06,65.0,
2012-09-06,65.0,
2012-09-07,65.0,
2012-09-07,65.0,
2012-09-07,60.0,
2012-09-07,60.0,
2012-09-08,60.0,
2012-09-08,55.0,
2012-09-08,55.0,
2012-09-08,55.0,
2012-09-09,55.0,
2012-09-09,55.0,
2012-09-09,55.0,
2012-09-09,55.0,
2012-09-10,55.0,
2012-09-10,60.0,
2012-09-10,65.0,
2012-09-10,65.0,
2012-09-11,65.0,
2012-09-11,65.0,
2012-09-11,65.0,
2012-09-11,65.0,
2012-09-11,60.0,
2012-09-12,55.0,
2012-09-02,20.0,
2012-09-02,25.0,
2012-09-02,25.0,
2012-09-02,25.0,
2012-09-03,25.0,
2012-09-03,25.0,
2012-09-03,25.0,
2012-09-03,30.0,
2012-09-04,30.0,
2012-09-04,35.0,
2012-09-04,40.0,
2012-09-04,45.0,
2012-09-05,45.0,
2012-09-05,45.0,
2012-09-05,50.0,
2012-09-05,65.0,
2012-09-06,80.0,
2012-09-06,95.0,
2012-09-06,100.0,
2012-09-06,95.0,
2012-09-07,90.0,
2012-09-07,90.0,
2012-09-07,90.0,
2012-09-07,85.0,
2012-09-08,80.0,
2012-09-08,80.0,
2012-09-08,85.0,
2012-09-08,90.0,
2012-09-09,90.0,
2012-09-09,85.0,
2012-09-09,85.0,
2012-09-09,80.0,
2012-09-10,75.0,
2012-09-10,70.0,
2012-09-10,70.0,
2012-09-10,65.0,
2012-09-11,60.0,
2012-09-11,55.0,
2012-09-11,45.0,
2012-09-11,40.0,
2012-09-12,35.0,
2012-09-12,30.0,
2012-09-10,25.0,
2012-09-10,25.0,
2012-09-11,25.0,
2012-09-11,25.0,
2012-09-11,30.0,
2012-09-11,30.0,
2012-09-12,35.0,
2012-09-12,45.0,
2012-09-12,50.0,
2012-09-12,55.0,
2012-09-13,60.0,
2012-09-13,60.0,
2012-09-13,60.0,
2012-09-13,60.0,
2012-09-14,60.0,
2012-09-14,60.0,
2012-09-14,60.0,
2012-09-14,65.0,
2012-09-15,70.0,
2012-09-15,70.0,
2012-09-15,70.0,
2012-09-15,70.0,
2012-09-16,70.0,
2012-09-16,65.0,
2012-09-16,65.0,
2012-09-16,65.0,
2012-09-17,60.0,
2012-09-17,60.0,
2012-09-17,55.0,
2012-09-17,55.0,
2012-09-18,50.0,
2012-09-18,50.0,
2012-09-18,50.0,
2012-09-18,50.0,
2012-09-19,50.0,
2012-09-19,50.0,
2012-09-19,50.0,
2012-09-19,50.0,
2012-09-20,50.0,
2012-09-20,50.0,
2012-09-20,50.0,
2012-09-20,55.0,
2012-09-21,55.0,
2012-09-21,55.0,
2012-09-21,50.0,
2012-09-21,50.0,
2012-09-22,45.0,
2012-09-22,45.0,
2012-09-22,45.0,
2012-09-22,45.0,
2012-09-23,45.0,
2012-09-23,50.0,
2012-09-23,50.0,
2012-09-23,50.0,
2012-09-24,45.0,
2012-09-24,45.0,
2012-09-24,45.0,
2012-09-24,45.0,
2012-09-25,40.0,
2012-09-25,40.0,
2012-09-25,40.0,
2012-09-25,40.0,
2012-09-26,40.0,
2012-09-26,40.0,
2012-09-26,45.0,
2012-09-26,50.0,
2012-09-27,50.0,
2012-09-27,50.0,
2012-09-27,50.0,
2012-09-27,55.0,
2012-09-28,55.0,
2012-09-28,60.0,
2012-09-28,65.0,
2012-09-28,65.0,
2012-09-29,65.0,
2012-09-29,65.0,
2012-09-29,65.0,
2012-09-29,70.0,
2012-09-30,75.0,
2012-09-30,75.0,
2012-09-30,80.0,
2012-09-30,80.0,
2012-10-01,75.0,
2012-10-01,65.0,
2012-10-01,60.0,
2012-10-01,55.0,
2012-10-02,55.0,
2012-10-02,55.0,
2012-10-02,55.0,
2012-10-02,55.0,
2012-10-03,50.0,
2012-10-03,45.0,
2012-10-03,45.0,
2012-10-03,40.0,
2012-10-04,40.0,
2012-10-04,40.0,
2012-10-02,25.0,
2012-10-02,25.0,
2012-10-03,30.0,
2012-10-03,30.0,
2012-10-03,30.0,
2012-10-03,35.0,
2012-10-04,40.0,
2012-10-04,40.0,
2012-10-04,45.0,
2012-10-04,45.0,
2012-10-05,45.0,
2012-10-05,45.0,
2012-10-05,45.0,
2012-10-10,25.0,
2012-10-11,30.0,
2012-10-11,35.0,
2012-10-11,35.0,
2012-10-11,35.0,
2012-10-12,40.0,
2012-10-12,40.0,
2012-10-12,40.0,
2012-10-12,35.0,
2012-10-13,35.0,
2012-10-13,30.0,
2012-10-12,35.0,
2012-10-13,35.0,
2012-10-13,35.0,
2012-10-13,35.0,
2012-10-13,40.0,
2012-10-14,45.0,
2012-10-14,45.0,
2012-10-14,50.0,
2012-10-14,55.0,
2012-10-15,60.0,
2012-10-15,65.0,
2012-10-15,70.0,
2012-10-15,75.0,
2012-10-16,80.0,
2012-10-16,80.0,
2012-10-16,80.0,
2012-10-16,75.0,
2012-10-17,75.0,
2012-10-17,70.0,
2012-10-17,65.0,
2012-10-17,65.0,
2012-10-18,65.0,
2012-10-18,60.0,
2012-10-18,55.0,
2012-10-18,55.0,
2012-10-19,50.0,
2012-10-19,50.0,
2012-10-19,50.0,
2012-10-19,50.0,
2012-10-20,50.0,
2012-10-20,50.0,
2012-10-20,50.0,
2012-10-20,50.0,
2012-10-21,45.0,
2012-10-21,40.0,
2012-10-21,40.0,
2012-10-21,40.0,
2012-10-22,40.0,
2012-10-22,40.0,
2012-10-22,40.0,
2012-10-22,40.0,
2012-10-23,40.0,
2012-10-23,40.0,
2012-10-23,40.0,
2012-10-23,40.0,
2012-10-24,40.0,
2012-10-24,40.0,
2012-10-24,30.0,
2012-10-24,30.0,
2012-10-25,30.0,
2012-10-25,30.0,
2012-10-25,30.0,
2012-10-25,30.0,
2012-10-26,30.0,
2012-10-26,30.0,
2012-10-26,25.0,
2012-10-21,25.0,
2012-10-22,25.0,
2012-10-22,25.0,
2012-10-22,30.0,
2012-10-22,35.0,
2012-10-23,40.0,
2012-10-23,40.0,
2012-10-23,40.0,
2012-10-23,45.0,
2012-10-24,55.0,
2012-10-24,60.0,
2012-10-24,65.0,
2012-10-24,75.0,
2012-10-24,75.0,
2012-10-25,85.0,
2012-10-25,100.0,
2012-10-25,100.0,
2012-10-25,95.0,
2012-10-25,95.0,
2012-10-25,90.0,
2012-10-26,75.0,
2012-10-26,70.0,
2012-10-26,65.0,
2012-10-26,65.0,
2012-10-27,60.0,
2012-10-27,60.0,
2012-10-27,70.0,
2012-10-27,70.0,
2012-10-28,65.0,
2012-10-28,65.0,
2012-10-28,65.0,
2012-10-28,65.0,
2012-10-29,70.0,
2012-10-29,80.0,
2012-10-29,85.0,
2012-10-29,80.0,
2012-10-29,75.0,
2012-10-29,70.0,
2012-10-30,70.0,
2012-10-30,55.0,
2012-10-30,50.0,
2012-10-30,40.0,
2012-10-31,35.0,
2012-10-31,35.0,
2012-10-31,30.0,
2012-10-21,25.0,
2012-10-22,25.0,
2012-10-22,25.0,
2012-10-22,30.0,
2012-10-22,30.0,
2012-10-23,30.0,
2012-10-23,30.0,
2012-10-23,30.0,
2012-10-23,30.0,
2012-10-24,35.0,
2012-10-24,40.0,
2012-10-24,45.0,
2012-10-24,45.0,
2012-10-25,45.0,
2012-10-25,45.0,
2012-10-25,35.0,
2012-10-25,35.0,
2012-10-26,35.0,
2012-10-26,30.0,
2012-10-26,25.0,
2013-06-05,35.0,
2013-06-06,40.0,
2013-06-06,50.0,
2013-06-06,55.0,
2013-06-06,55.0,
2013-06-06,50.0,
2013-06-07,40.0,
2013-06-07,40.0,
2013-06-07,40.0,
2013-06-07,40.0,
2013-06-08,40.0,
2013-06-08,40.0,
2013-06-08,40.0,
2013-06-08,40.0,
2013-06-16,20.0,
2013-06-16,20.0,
2013-06-16,25.0,
2013-06-16,25.0,
2013-06-17,25.0,
2013-06-17,25.0,
2013-06-17,30.0,
2013-06-17,30.0,
2013-06-17,30.0,
2013-06-18,30.0,
2013-06-18,25.0,
2013-06-18,30.0,
2013-06-18,30.0,
2013-06-19,30.0,
2013-06-19,30.0,
2013-06-19,35.0,
2013-06-19,40.0,
2013-06-20,40.0,
2013-06-20,40.0,
2013-06-20,40.0,
2013-06-20,40.0,
2013-06-20,30.0,
2013-06-21,25.0,
2013-07-07,35.0,
2013-07-07,35.0,
2013-07-08,35.0,
2013-07-08,35.0,
2013-07-08,40.0,
2013-07-08,45.0,
2013-07-09,50.0,
2013-07-09,50.0,
2013-07-09,55.0,
2013-07-09,55.0,
2013-07-10,45.0,
2013-07-10,40.0,
2013-07-10,40.0,
2013-07-22,25.0,
2013-07-23,25.0,
2013-07-23,25.0,
2013-07-23,25.0,
2013-07-23,25.0,
2013-07-24,30.0,
2013-07-24,35.0,
2013-07-24,40.0,
2013-07-24,45.0,
2013-07-25,45.0,
2013-07-25,50.0,
2013-07-25,50.0,
2013-07-25,50.0,
2013-07-26,45.0,
2013-07-26,45.0,
2013-07-26,45.0,
2013-07-26,40.0,
2013-07-27,35.0,
2013-07-27,35.0,
2013-07-27,35.0,
2013-07-27,35.0,
2013-07-28,35.0,
2013-07-28,35.0,
2013-07-28,35.0,
2013-07-28,30.0,
2013-07-29,25.0,
2013-07-29,25.0,
2013-07-29,25.0,
2013-07-29,25.0,
2013-07-30,25.0,
2013-07-30,25.0,
2013-07-30,25.0,
2013-07-30,25.0,
2013-07-31,25.0,
2013-07-31,25.0,
2013-07-31,25.0,
2013-07-31,25.0,
2013-08-01,25.0,
2013-08-01,25.0,
2013-08-01,25.0,
2013-08-01,25.0,
2013-08-02,25.0,
2013-08-02,25.0,
2013-08-02,25.0,
2013-08-02,25.0,
2013-08-03,30.0,
2013-08-03,30.0,
2013-08-03,30.0,
2013-08-03,30.0,
2013-08-04,30.0,
2013-08-04,30.0,
2013-08-15,30.0,
2013-08-15,35.0,
2013-08-15,35.0,
2013-08-15,35.0,
2013-08-16,35.0,
2013-08-16,35.0,
2013-08-16,35.0,
2013-08-16,35.0,
2013-08-17,40.0,
2013-08-17,40.0,
2013-08-17,35.0,
2013-08-17,35.0,
2013-08-18,35.0,
2013-08-18,30.0,
2013-08-18,30.0,
2013-08-18,25.0,
2013-08-19,25.0,
2013-08-19,25.0,
2013-08-19,20.0,
2013-08-19,20.0,
2013-08-25,30.0,
2013-08-25,45.0,
2013-08-26,50.0,
2013-08-26,50.0,
2013-08-26,45.0,
2013-08-26,30.0,
2013-08-26,25.0,
2013-09-04,30.0,
2013-09-05,30.0,
2013-09-05,30.0,
2013-09-05,30.0,
2013-09-05,25.0,
2013-09-06,25.0,
2013-09-06,20.0,
2013-09-06,20.0,
2013-09-06,20.0,
2013-09-07,20.0,
2013-09-07,20.0,
2013-09-07,25.0,
2013-09-07,25.0,
2013-09-08,25.0,
2013-09-08,25.0,
2013-09-08,25.0,
2013-09-08,25.0,
2013-09-09,25.0,
2013-09-09,25.0,
2013-09-09,30.0,
2013-09-09,30.0,
2013-09-10,30.0,
2013-09-10,40.0,
2013-09-10,55.0,
2013-09-10,50.0,
2013-09-11,50.0,
2013-09-11,45.0,
2013-09-11,40.0,
2013-09-11,35.0,
2013-09-12,30.0,
2013-09-12,30.0,
2013-09-12,35.0,
2013-09-12,35.0,
2013-09-13,35.0,
2013-09-13,30.0,
2013-09-13,30.0,
2013-09-06,30.0,
2013-09-06,30.0,
2013-09-07,25.0,
2013-09-07,25.0,
2013-09-08,25.0,
2013-09-08,25.0,
2013-09-08,25.0,
2013-09-08,25.0,
2013-09-09,30.0,
2013-09-09,35.0,
2013-09-09,40.0,
2013-09-09,45.0,
2013-09-10,50.0,
2013-09-10,55.0,
2013-09-10,55.0,
2013-09-10,55.0,
2013-09-11,55.0,
2013-09-11,60.0,
2013-09-11,70.0,
2013-09-11,80.0,
2013-09-12,80.0,
2013-09-12,80.0,
2013-09-12,75.0,
2013-09-12,75.0,
2013-09-13,70.0,
2013-09-13,60.0,
2013-09-13,55.0,
2013-09-13,45.0,
2013-09-14,40.0,
2013-09-14,35.0,
2013-09-14,35.0,
2013-09-14,35.0,
2013-09-15,35.0,
2013-09-15,35.0,
2013-09-15,35.0,
2013-09-15,35.0,
2013-09-16,35.0,
2013-09-16,35.0,
2013-09-16,40.0,
2013-09-16,40.0,
2013-09-17,35.0,
2013-09-17,35.0,
2013-09-17,40.0,
2013-09-17,40.0,
2013-09-18,35.0,
2013-09-18,30.0,
2013-09-18,30.0,
2013-09-18,30.0,
2013-09-19,30.0,
2013-09-19,30.0,
2013-09-12,25.0,
2013-09-12,30.0,
2013-09-12,30.0,
2013-09-13,30.0,
2013-09-13,30.0,
2013-09-13,35.0,
2013-09-13,40.0,
2013-09-14,50.0,
2013-09-14,55.0,
2013-09-14,60.0,
2013-09-14,65.0,
2013-09-15,75.0,
2013-09-15,75.0,
2013-09-15,65.0,
2013-09-15,65.0,
2013-09-16,70.0,
2013-09-16,60.0,
2013-09-16,55.0,
2013-09-16,55.0,
2013-09-16,40.0,
2013-09-17,25.0,
2013-09-17,20.0,
2013-09-28,30.0,
2013-09-28,30.0,
2013-09-28,30.0,
2013-09-28,30.0,
2013-09-29,30.0,
2013-09-29,30.0,
2013-09-29,30.0,
2013-09-29,30.0,
2013-09-30,30.0,
2013-09-30,35.0,
2013-09-30,35.0,
2013-09-30,40.0,
2013-10-01,45.0,
2013-10-01,40.0,
2013-10-01,40.0,
2013-10-01,40.0,
2013-10-02,35.0,
2013-10-02,35.0,
2013-10-02,35.0,
2013-10-02,35.0,
2013-10-03,35.0,
2013-10-03,35.0,
2013-10-03,35.0,
2013-10-03,35.0,
2013-10-04,35.0,
2013-10-04,35.0,
2013-10-04,35.0,
2013-10-04,35.0,
2013-10-05,35.0,
2013-10-05,35.0,
2013-10-05,40.0,
2013-10-05,40.0,
2013-10-06,40.0,
2013-10-03,45.0,
2013-10-03,55.0,
2013-10-03,55.0,
2013-10-03,55.0,
2013-10-04,50.0,
2013-10-04,45.0,
2013-10-04,45.0,
2013-10-04,45.0,
2013-10-05,40.0,
2013-10-05,40.0,
2013-10-05,40.0,
2013-10-05,35.0,
2013-10-06,30.0,
2013-10-06,25.0,
2013-10-21,30.0,
2013-10-21,35.0,
2013-10-21,35.0,
2013-10-22,35.0,
2013-10-22,40.0,
2013-10-22,45.0,
2013-10-22,45.0,
2013-10-23,45.0,
2013-10-23,45.0,
2013-10-23,40.0,
2013-10-23,35.0,
2013-10-24,30.0,
2013-10-24,30.0,
2013-10-24,25.0,
2013-10-24,25.0,
2013-10-25,25.0,
2013-10-25,25.0,
2013-10-25,25.0,
2013-10-25,25.0,
2013-10-26,20.0,
2013-10-26,20.0,
2013-11-17,35.0,
2013-11-17,35.0,
2013-11-17,35.0,
2013-11-17,40.0,
2013-11-18,45.0,
2013-11-18,45.0,
2013-11-18,50.0,
2013-11-18,50.0,
2013-11-19,50.0,
2013-11-19,55.0,
2013-11-19,55.0,
2013-11-19,50.0,
2013-11-20,45.0,
2013-11-20,45.0,
2013-11-20,45.0,
2013-11-20,45.0,
2013-11-21,45.0,
2013-11-21,50.0,
2013-11-21,55.0,
2013-11-21,55.0,
2013-11-22,50.0,
2013-11-22,45.0,
2013-11-22,40.0,
2013-11-22,40.0,
2013-11-23,35.0,
2013-11-23,35.0,
2013-12-03,50.0,
2013-12-04,55.0,
2013-12-04,55.0,
2013-12-04,50.0,
2013-12-04,50.0,
2013-12-05,45.0,
2013-12-05,45.0,
2013-12-05,45.0,
2013-12-05,40.0,
2013-12-06,40.0,
2013-12-06,40.0,
2013-12-06,40.0,
2013-12-06,40.0,
2013-12-07,35.0,
2013-12-07,35.0,
2013-12-07,30.0,
2014-06-28,20.0,
2014-06-29,20.0,
2014-06-29,20.0,
2014-06-29,20.0,
2014-06-29,25.0,
2014-06-30,25.0,
2014-06-30,25.0,
2014-06-30,25.0,
2014-06-30,30.0,
2014-07-01,30.0,
2014-07-01,30.0,
2014-07-01,35.0,
2014-07-01,40.0,
2014-07-02,45.0,
2014-07-02,50.0,
2014-07-02,55.0,
2014-07-02,60.0,
2014-07-03,65.0,
2014-07-03,70.0,
2014-07-03,80.0,
2014-07-03,80.0,
2014-07-04,85.0,
2014-07-04,85.0,
2014-07-04,85.0,
2014-07-04,85.0,
2014-07-04,80.0,
2014-07-04,70.0,
2014-07-05,65.0,
2014-07-05,60.0,
2014-07-05,60.0,
2014-07-05,55.0,
2014-07-06,50.0,
2014-07-06,45.0,
2014-07-06,40.0,
2014-07-06,35.0,
2014-07-07,35.0,
2014-07-07,35.0,
2014-07-07,35.0,
2014-07-07,40.0,
2014-07-08,45.0,
2014-07-08,40.0,
2014-07-08,35.0,
2014-07-08,30.0,
2014-07-09,30.0,
2014-07-09,25.0,
2014-07-09,25.0,
2014-07-09,25.0,
2014-07-19,20.0,
2014-07-19,20.0,
2014-07-20,20.0,
2014-07-20,20.0,
2014-07-20,20.0,
2014-07-20,20.0,
2014-07-21,25.0,
2014-07-21,25.0,
2014-07-21,30.0,
2014-07-21,30.0,
2014-07-22,30.0,
2014-07-22,30.0,
2014-07-22,30.0,
2014-07-22,30.0,
2014-07-23,30.0,
2014-07-23,30.0,
2014-07-23,30.0,
2014-07-29,25.0,
2014-07-29,30.0,
2014-07-29,30.0,
2014-07-30,30.0,
2014-07-30,30.0,
2014-07-30,30.0,
2014-07-30,30.0,
2014-07-31,35.0,
2014-07-31,35.0,
2014-07-31,40.0,
2014-07-31,40.0,
2014-08-01,40.0,
2014-08-01,40.0,
2014-08-01,45.0,
2014-08-01,45.0,
2014-08-02,45.0,
2014-08-02,40.0,
2014-08-02,40.0,
2014-08-02,40.0,
2014-08-03,40.0,
2014-08-03,40.0,
2014-08-03,40.0,
2014-08-03,40.0,
2014-08-03,45.0,
2014-08-04,55.0,
2014-08-04,60.0,
2014-08-04,70.0,
2014-08-04,70.0,
2014-08-05,65.0,
2014-08-05,55.0,
2014-08-05,50.0,
2014-08-05,45.0,
2014-08-06,45.0,
2014-08-06,45.0,
2014-08-06,45.0,
2014-08-06,45.0,
2014-08-07,50.0,
2014-08-07,45.0,
2014-08-07,40.0,
2014-08-07,40.0,
2014-08-08,35.0,
2014-08-08,35.0,
2014-08-08,35.0,
2014-08-08,35.0,
2014-08-09,35.0,
2014-08-09,35.0,
2014-08-09,35.0,
2014-08-23,30.0,
2014-08-24,30.0,
2014-08-24,35.0,
2014-08-24,40.0,
2014-08-24,45.0,
2014-08-25,45.0,
2014-08-25,45.0,
2014-08-25,50.0,
2014-08-25,50.0,
2014-08-26,65.0,
2014-08-26,65.0,
2014-08-26,65.0,
2014-08-26,65.0,
2014-08-27,70.0,
2014-08-27,70.0,
2014-08-27,70.0,
2014-08-27,65.0,
2014-08-28,65.0,
2014-08-28,65.0,
2014-08-28,70.0,
2014-08-28,75.0,
2014-08-29,75.0,
2014-08-29,70.0,
2014-08-29,65.0,
2014-08-29,65.0,
2014-08-30,65.0,
2014-08-30,65.0,
2014-08-30,60.0,
2014-08-30,60.0,
2014-08-31,60.0,
2014-08-31,60.0,
2014-08-31,60.0,
2014-08-31,55.0,
2014-09-01,50.0,
2014-09-01,50.0,
2014-09-01,45.0,
2014-09-01,45.0,
2014-09-02,40.0,
2014-09-02,35.0,
2014-09-01,25.0,
2014-09-01,30.0,
2014-09-02,35.0,
2014-09-02,40.0,
2014-09-02,45.0,
2014-09-02,40.0,
2014-09-03,40.0,
2014-09-03,40.0,
2014-09-03,40.0,
2014-09-03,35.0,
2014-09-03,25.0,
2014-09-03,20.0,
2014-09-04,15.0,
2014-09-10,25.0,
2014-09-11,25.0,
2014-09-11,25.0,
2014-09-11,30.0,
2014-09-11,30.0,
2014-09-12,35.0,
2014-09-12,35.0,
2014-09-12,40.0,
2014-09-12,40.0,
2014-09-13,40.0,
2014-09-13,45.0,
2014-09-13,45.0,
2014-09-13,50.0,
2014-09-14,55.0,
2014-09-14,60.0,
2014-09-14,70.0,
2014-09-14,75.0,
2014-09-15,80.0,
2014-09-15,85.0,
2014-09-15,90.0,
2014-09-15,95.0,
2014-09-16,95.0,
2014-09-16,100.0,
2014-09-16,105.0,
2014-09-16,95.0,
2014-09-17,85.0,
2014-09-17,85.0,
2014-09-17,80.0,
2014-09-17,80.0,
2014-09-18,75.0,
2014-09-18,70.0,
2014-09-18,70.0,
2014-09-18,65.0,
2014-09-19,60.0,
2014-09-19,55.0,
2014-09-19,45.0,
2014-09-19,40.0,
2014-09-20,35.0,
2014-09-20,30.0,
2014-09-20,30.0,
2014-09-20,25.0,
2014-09-21,25.0,
2014-09-21,25.0,
2014-09-21,25.0,
2014-09-21,25.0,
2014-09-22,25.0,
2014-09-22,25.0,
2014-10-10,35.0,
2014-10-10,35.0,
2014-10-10,35.0,
2014-10-10,40.0,
2014-10-11,50.0,
2014-10-11,55.0,
2014-10-11,60.0,
2014-10-11,60.0,
2014-10-12,60.0,
2014-10-12,65.0,
2014-10-12,70.0,
2014-10-12,70.0,
2014-10-12,60.0,
2014-10-13,50.0,
2014-10-11,25.0,
2014-10-12,30.0,
2014-10-12,30.0,
2014-10-12,35.0,
2014-10-12,40.0,
2014-10-13,45.0,
2014-10-13,55.0,
2014-10-13,65.0,
2014-10-13,65.0,
2014-10-13,70.0,
2014-10-13,75.0,
2014-10-13,75.0,
2014-10-14,80.0,
2014-10-14,90.0,
2014-10-14,95.0,
2014-10-14,100.0,
2014-10-15,115.0,
2014-10-15,115.0,
2014-10-15,115.0,
2014-10-15,110.0,
2014-10-16,110.0,
2014-10-16,115.0,
2014-10-16,125.0,
2014-10-16,125.0,
2014-10-17,120.0,
2014-10-17,115.0,
2014-10-17,110.0,
2014-10-17,105.0,
2014-10-18,95.0,
2014-10-18,95.0,
2014-10-18,90.0,
2014-10-18,85.0,
2014-10-18,85.0,
2014-10-19,85.0,
2014-10-19,80.0,
2014-10-19,70.0,
2014-10-19,65.0,
2014-10-20,55.0,
2014-10-20,50.0,
2014-10-21,25.0,
2014-10-21,25.0,
2014-10-21,25.0,
2014-10-21,30.0,
2014-10-22,30.0,
2014-10-22,30.0,
2014-10-22,30.0,
2014-10-22,30.0,
2014-10-23,25.0,
2014-10-23,20.0,
2014-10-23,20.0,
2014-10-23,20.0,
2014-10-24,20.0,
2014-10-24,20.0,
2014-10-24,20.0,
2014-10-24,20.0,
2014-10-25,20.0,
2014-10-25,20.0,
2014-10-25,25.0,
2014-10-25,25.0,
2014-10-26,25.0,
2014-10-26,25.0,
2014-10-26,30.0,
2014-10-26,30.0,
2014-10-27,30.0,
2014-10-27,35.0,
2014-10-27,35.0,
2014-10-27,35.0,
2014-10-27,30.0,
2014-10-28,30.0,
2014-10-28,25.0,
2014-10-28,20.0,
2014-10-28,20.0,
2014-10-29,20.0,
2014-10-29,20.0,
2014-10-29,20.0,
2014-10-29,15.0,
2015-05-06,25.0,
2015-05-06,25.0,
2015-05-06,25.0,
2015-05-07,30.0,
2015-05-07,35.0,
2015-05-07,40.0,
2015-05-07,40.0,
2015-05-08,40.0,
2015-05-08,40.0,
2015-05-08,40.0,
2015-05-08,45.0,
2015-05-09,50.0,
2015-05-09,50.0,
2015-05-09,50.0,
2015-05-09,45.0,
2015-05-10,45.0,
2015-05-10,40.0,
2015-05-10,40.0,
2015-05-10,35.0,
2015-05-10,30.0,
2015-05-11,30.0,
2015-05-11,30.0,
2015-05-11,30.0,
2015-05-11,30.0,
2015-05-12,30.0,
2015-05-12,25.0,
2015-05-12,25.0,
2015-05-12,25.0,
2015-06-16,45.0,
2015-06-16,45.0,
2015-06-16,50.0,
2015-06-16,50.0,
2015-06-16,50.0,
2015-06-17,40.0,
2015-06-17,30.0,
2015-06-17,30.0,
2015-06-17,25.0,
2015-06-18,25.0,
2015-06-18,25.0,
2015-06-18,20.0,
2015-06-18,15.0,
2015-06-19,15.0,
2015-06-19,15.0,
2015-06-19,15.0,
2015-06-19,20.0,
2015-06-20,20.0,
2015-06-20,15.0,
2015-06-20,15.0,
2015-06-20,15.0,
2015-06-21,15.0,
2015-07-12,25.0,
2015-07-12,25.0,
2015-07-12,25.0,
2015-07-12,25.0,
2015-07-13,25.0,
2015-07-13,30.0,
2015-07-13,40.0,
2015-07-13,45.0,
2015-07-14,45.0,
2015-07-14,45.0,
2015-07-14,45.0,
2015-07-14,40.0,
2015-07-15,35.0,
2015-07-15,30.0,
2015-07-15,30.0,
2015-08-17,25.0,
2015-08-17,25.0,
2015-08-17,25.0,
2015-08-17,25.0,
2015-08-18,25.0,
2015-08-18,30.0,
2015-08-18,35.0,
2015-08-18,40.0,
2015-08-19,45.0,
2015-08-19,45.0,
2015-08-19,45.0,
2015-08-19,50.0,
2015-08-20,55.0,
2015-08-20,60.0,
2015-08-20,65.0,
2015-08-20,75.0,
2015-08-21,85.0,
2015-08-21,95.0,
2015-08-21,110.0,
2015-08-21,105.0,
2015-08-22,95.0,
2015-08-22,85.0,
2015-08-22,75.0,
2015-08-22,65.0,
2015-08-23,55.0,
2015-08-23,50.0,
2015-08-23,45.0,
2015-08-23,40.0,
2015-08-24,40.0,
2015-08-24,35.0,
2015-08-24,30.0,
2015-08-24,40.0,
2015-08-25,40.0,
2015-08-25,40.0,
2015-08-25,40.0,
2015-08-25,35.0,
2015-08-26,35.0,
2015-08-26,35.0,
2015-08-26,40.0,
2015-08-26,40.0,
2015-08-27,40.0,
2015-08-27,45.0,
2015-08-27,45.0,
2015-08-27,45.0,
2015-08-28,45.0,
2015-08-28,45.0,
2015-08-28,45.0,
2015-08-30,30.0,
2015-08-30,35.0,
2015-08-30,45.0,
